trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
int,String,String,int,int,int,String,int,String,String,String,int
12426,7/1/2013 0:07,7/1/2013 0:10,403,173,106,McCormick Place,282,Larrabee St & Menomonee St,Subscriber,Male,1971
12430,7/1/2013 0:12,7/1/2013 0:16,403,240,282,Larrabee St & Menomonee St,146,Lincoln Ave & Armitage Ave,Subscriber,Male,1971
12434,7/1/2013 0:18,7/1/2013 0:25,403,405,146,Lincoln Ave & Armitage Ave,124,Cannon Dr & Fullerton Ave,Subscriber,Male,1971
12436,7/1/2013 0:27,7/1/2013 0:37,403,614,124,Cannon Dr & Fullerton Ave,60,Sheffield Ave & Fullerton Ave,Subscriber,Male,1971
12439,7/1/2013 0:40,7/1/2013 0:42,403,144,60,Sheffield Ave & Fullerton Ave,189,Racine Ave & Fullerton Ave,Subscriber,Male,1971
12440,7/1/2013 0:44,7/1/2013 1:01,403,986,189,Racine Ave & Fullerton Ave,60,Sheffield Ave & Fullerton Ave,Subscriber,Male,1971
12443,7/1/2013 1:01,7/1/2013 1:15,403,824,60,Sheffield Ave & Fullerton Ave,25,Ashland Ave & Armitage Ave,Subscriber,Male,1971
12447,7/1/2013 1:16,7/1/2013 1:21,403,283,25,Ashland Ave & Armitage Ave,223,Wood St & North Ave,Subscriber,Male,1971
12448,7/1/2013 1:22,7/1/2013 1:26,403,262,223,Wood St & North Ave,65,Damen Ave & Pierce Ave,Subscriber,Male,1971
12453,7/1/2013 4:46,7/1/2013 4:50,55,272,23,Daley Center Plaza,43,Michigan Ave & Lake St,Subscriber,Male,1976
12455,7/1/2013 6:10,7/1/2013 6:15,107,295,19,Franklin St & Jackson Blvd,301,Clinton St & Madison St,Subscriber,Male,1952
12458,7/1/2013 6:16,7/1/2013 6:21,457,316,37,Clinton St & Tilden St,10,Clinton St & Washington Blvd,Subscriber,Male,1983
12459,7/1/2013 6:16,7/1/2013 6:30,857,836,10,Clinton St & Washington Blvd,247,Ashland Ave & Chicago Ave,Subscriber,Male,1965
12466,7/1/2013 6:28,7/1/2013 6:38,41,590,31,Wabash Ave & Roosevelt Rd,9,Clark St & Congress Pkwy,Subscriber,Male,1953
12473,7/1/2013 6:32,7/1/2013 6:43,395,656,262,Fairbanks Ct & Grand Ave,20,Dearborn St & Adams St,Subscriber,Male,1956
12485,7/1/2013 6:38,7/1/2013 6:47,567,536,397,Kimbark Ave & 53rd St,20,Dearborn St & Adams St,Subscriber,Male,1978
12478,7/1/2013 6:44,7/1/2013 6:51,275,418,155,May St & Randolph St,43,Michigan Ave & Lake St,Subscriber,Male,1977
12477,7/1/2013 6:44,7/1/2013 6:53,705,528,10,Clinton St & Washington Blvd,50,State St & Kinzie St,Subscriber,Male,1967
12487,7/1/2013 6:48,7/1/2013 7:09,536,1236,65,Damen Ave & Pierce Ave,43,Michigan Ave & Lake St,Subscriber,Male,1983
12479,7/1/2013 6:53,7/1/2013 6:57,529,213,174,Larrabee St & North Ave,58,Dayton St & North Ave,Subscriber,Male,1960
12489,7/1/2013 6:56,7/1/2013 6:58,662,106,262,Fairbanks Ct & Grand Ave,262,Fairbanks Ct & Grand Ave,Subscriber,Male,1986
12500,7/1/2013 6:59,7/1/2013 7:09,759,560,138,Canal St & Jackson Blvd,1,Michigan Ave & Washington St,Subscriber,Male,1958
12510,7/1/2013 7:03,7/1/2013 7:18,754,855,65,Damen Ave & Pierce Ave,282,Larrabee St & Menomonee St,Subscriber,Male,1986
12513,7/1/2013 7:06,7/1/2013 7:14,543,518,155,May St & Randolph St,138,Canal St & Jackson Blvd,Subscriber,Male,1960
12521,7/1/2013 7:08,7/1/2013 7:30,321,1348,5,Clark St & Randolph St,31,Wabash Ave & Roosevelt Rd,Subscriber,Male,1975
12526,7/1/2013 7:10,7/1/2013 7:17,607,417,5,Clark St & Randolph St,20,Dearborn St & Adams St,Subscriber,Male,1982
12528,7/1/2013 7:12,7/1/2013 7:28,271,984,146,Lincoln Ave & Armitage Ave,43,Michigan Ave & Lake St,Subscriber,Male,1984
12530,7/1/2013 7:14,7/1/2013 7:33,421,1155,164,Racine Ave & 18th St,440,Cottage Grove Ave & 51st St,Subscriber,Female,1987
12539,7/1/2013 7:18,7/1/2013 7:27,440,568,64,Wells St & Erie St,27,Halsted St & Polk St,Subscriber,Male,1983
12543,7/1/2013 7:20,7/1/2013 7:28,160,466,138,Canal St & Jackson Blvd,5,Clark St & Randolph St,Subscriber,Male,1973
12541,7/1/2013 7:20,7/1/2013 7:30,598,581,10,Clinton St & Washington Blvd,43,Michigan Ave & Lake St,Subscriber,Male,1979
12542,7/1/2013 7:20,7/1/2013 7:30,418,587,155,May St & Randolph St,43,Michigan Ave & Lake St,Subscriber,Male,1963
12544,7/1/2013 7:21,7/1/2013 7:26,335,352,138,Canal St & Jackson Blvd,20,Dearborn St & Adams St,Subscriber,Male,1960
12548,7/1/2013 7:21,7/1/2013 7:45,290,1414,58,Dayton St & North Ave,9,Clark St & Congress Pkwy,Subscriber,Male,1967
12550,7/1/2013 7:23,7/1/2013 7:25,415,145,164,Racine Ave & 18th St,163,Morgan St & 18th St,Subscriber,Male,1988
12558,7/1/2013 7:29,7/1/2013 7:40,512,658,2,State St & Randolph St,2,State St & Randolph St,Subscriber,Male,1957
12567,7/1/2013 7:32,7/1/2013 7:35,438,224,440,Cottage Grove Ave & 51st St,420,Martin Luther King Dr & Oakwood Blvd,Subscriber,Female,1974
12570,7/1/2013 7:35,7/1/2013 7:42,860,417,138,Canal St & Jackson Blvd,431,Adler Planetarium,Subscriber,Female,1964
12572,7/1/2013 7:36,7/1/2013 7:47,342,636,72,Morgan St & Lake St,5,Clark St & Randolph St,Subscriber,Male,1973
12573,7/1/2013 7:36,7/1/2013 7:51,386,865,263,Columbus Dr & Randolph St,50,State St & Kinzie St,Subscriber,Male,1957
12575,7/1/2013 7:37,7/1/2013 7:46,563,540,25,Ashland Ave & Armitage Ave,58,Dayton St & North Ave,Subscriber,Male,1984
12574,7/1/2013 7:37,7/1/2013 7:55,858,1114,21,Clinton St & Lake St,9,Clark St & Congress Pkwy,Subscriber,Male,1960
12581,7/1/2013 7:43,7/1/2013 8:14,520,1824,189,Racine Ave & Fullerton Ave,300,Lake Shore Dr & Monroe St,Subscriber,Male,1987
12582,7/1/2013 7:44,7/1/2013 8:09,317,1525,189,Racine Ave & Fullerton Ave,5,Clark St & Randolph St,Subscriber,Female,1991
12583,7/1/2013 7:45,7/1/2013 8:00,36,895,138,Canal St & Jackson Blvd,262,Fairbanks Ct & Grand Ave,Subscriber,Male,1972
12593,7/1/2013 7:45,7/1/2013 8:01,341,967,148,State St & 16th St,23,Daley Center Plaza,Subscriber,Male,1970
12586,7/1/2013 7:46,7/1/2013 7:51,314,317,301,Clinton St & Madison St,19,Franklin St & Jackson Blvd,Subscriber,Male,1973
12592,7/1/2013 7:46,7/1/2013 8:00,369,825,138,Canal St & Jackson Blvd,12,Larrabee St & Kingsbury St,Subscriber,Male,1980
12591,7/1/2013 7:46,7/1/2013 8:09,906,1333,138,Canal St & Jackson Blvd,34,Michigan Ave & Pearson St,Subscriber,Female,1971
12589,7/1/2013 7:47,7/1/2013 7:52,416,323,385,Clarendon Ave & Leland Ave,49,Dearborn St & Monroe St,Subscriber,Male,1979
12590,7/1/2013 7:47,7/1/2013 7:57,457,610,10,Clinton St & Washington Blvd,17,Franklin St & Chicago Ave,Subscriber,Male,1983
12596,7/1/2013 7:48,7/1/2013 7:57,107,525,301,Clinton St & Madison St,397,Kimbark Ave & 53rd St,Subscriber,Male,1980
12598,7/1/2013 7:49,7/1/2013 8:17,232,1648,388,Montrose Harbor,39,Desplaines St & Kinzie St,Subscriber,Female,1969
12604,7/1/2013 7:51,7/1/2013 8:02,66,712,301,Clinton St & Madison St,1,Michigan Ave & Washington St,Subscriber,Male,1977
12606,7/1/2013 7:52,7/1/2013 7:55,860,188,431,Adler Planetarium,301,Clinton St & Madison St,Subscriber,Male,1985
12609,7/1/2013 7:54,7/1/2013 8:04,261,566,10,Clinton St & Washington Blvd,23,Daley Center Plaza,Subscriber,Female,1963
12610,7/1/2013 7:55,7/1/2013 8:08,444,751,138,Canal St & Jackson Blvd,43,Michigan Ave & Lake St,Subscriber,Male,1990
12618,7/1/2013 7:58,7/1/2013 8:12,905,830,31,Wabash Ave & Roosevelt Rd,23,Daley Center Plaza,Subscriber,Male,1970
12619,7/1/2013 7:58,7/1/2013 8:13,191,877,396,Greenwood Ave & 47th St,23,Daley Center Plaza,Subscriber,Female,1966
12624,7/1/2013 8:00,7/1/2013 8:06,645,330,30,State St & Harrison St,148,State St & 16th St,Subscriber,Male,1985
12626,7/1/2013 8:01,7/1/2013 8:21,481,1190,10,Clinton St & Washington Blvd,34,Michigan Ave & Pearson St,Subscriber,Female,1957
12627,7/1/2013 8:02,7/1/2013 8:12,174,616,10,Clinton St & Washington Blvd,43,Michigan Ave & Lake St,Subscriber,Male,1979
12628,7/1/2013 8:03,7/1/2013 8:14,518,674,10,Clinton St & Washington Blvd,8,Millennium Park,Subscriber,Male,1995
12632,7/1/2013 8:05,7/1/2013 8:19,279,814,138,Canal St & Jackson Blvd,2,State St & Randolph St,Subscriber,Female,1981
12636,7/1/2013 8:09,7/1/2013 8:22,72,790,248,Ashland Ave & Augusta Blvd,53,Green St & Randolph St,Subscriber,Male,1972
12638,7/1/2013 8:11,7/1/2013 8:22,912,680,39,Desplaines St & Kinzie St,51,McClurg Ct & Illinois St,Subscriber,Female,1974
12639,7/1/2013 8:12,7/1/2013 8:34,914,1301,164,Racine Ave & 18th St,23,Daley Center Plaza,Subscriber,Male,1987
12642,7/1/2013 8:14,7/1/2013 8:17,469,208,5,Clark St & Randolph St,49,Dearborn St & Monroe St,Subscriber,Male,1980
12648,7/1/2013 8:14,7/1/2013 8:19,520,256,300,Lake Shore Dr & Monroe St,210,Halsted St & Wrightwood Ave,Subscriber,Male,1987
12659,7/1/2013 8:14,7/1/2013 8:20,438,352,420,Martin Luther King Dr & Oakwood Blvd,19,Franklin St & Jackson Blvd,Subscriber,Male,1984
12644,7/1/2013 8:14,7/1/2013 8:26,457,723,17,Franklin St & Chicago Ave,5,Clark St & Randolph St,Subscriber,Male,1985
12643,7/1/2013 8:14,7/1/2013 8:30,560,969,17,Franklin St & Chicago Ave,19,Franklin St & Jackson Blvd,Subscriber,Female,1986
12663,7/1/2013 8:16,7/1/2013 8:24,264,480,138,Canal St & Jackson Blvd,106,McCormick Place,Subscriber,Male,1972
12661,7/1/2013 8:18,7/1/2013 8:44,195,1528,223,Wood St & North Ave,27,Halsted St & Polk St,Subscriber,Male,1970
12666,7/1/2013 8:21,7/1/2013 8:43,484,1300,51,McClurg Ct & Illinois St,23,Daley Center Plaza,Subscriber,Female,1954
12665,7/1/2013 8:21,7/1/2013 9:12,172,3090,10,Clinton St & Washington Blvd,50,State St & Kinzie St,Subscriber,Male,1977
12670,7/1/2013 8:22,7/1/2013 8:31,626,568,138,Canal St & Jackson Blvd,76,Racine Ave & Congress Pkwy,Subscriber,Female,1976
12671,7/1/2013 8:22,7/1/2013 9:12,597,3004,138,Canal St & Jackson Blvd,50,State St & Kinzie St,Subscriber,Male,1974
12669,7/1/2013 8:23,7/1/2013 8:42,423,1170,51,McClurg Ct & Illinois St,3,State St & Van Buren St,Subscriber,Male,1956
12677,7/1/2013 8:24,7/1/2013 8:47,231,1381,246,Wood St & Division St,20,Dearborn St & Adams St,Subscriber,Male,1982
12680,7/1/2013 8:25,7/1/2013 9:11,134,2783,10,Clinton St & Washington Blvd,50,State St & Kinzie St,Subscriber,Male,1967
12691,7/1/2013 8:29,7/1/2013 8:44,451,902,12,Larrabee St & Kingsbury St,43,Michigan Ave & Lake St,Subscriber,Male,1985
12699,7/1/2013 8:30,7/1/2013 8:40,19,597,3,State St & Van Buren St,2,State St & Randolph St,Subscriber,Male,1954
12700,7/1/2013 8:30,7/1/2013 8:58,327,1713,396,Greenwood Ave & 47th St,50,State St & Kinzie St,Subscriber,Male,1977
12705,7/1/2013 8:31,7/1/2013 8:37,440,378,27,Halsted St & Polk St,301,Clinton St & Madison St,Subscriber,Male,1979
12710,7/1/2013 8:32,7/1/2013 8:43,421,692,440,Cottage Grove Ave & 51st St,17,Franklin St & Chicago Ave,Subscriber,Male,1966
12707,7/1/2013 8:32,7/1/2013 8:52,274,1255,246,Wood St & Division St,139,Loomis St & Taylor St,Subscriber,Female,1986
12713,7/1/2013 8:33,7/1/2013 8:40,364,395,10,Clinton St & Washington Blvd,19,Franklin St & Jackson Blvd,Subscriber,Male,1983
12717,7/1/2013 8:34,7/1/2013 8:43,480,543,9,Clark St & Congress Pkwy,23,Daley Center Plaza,Subscriber,Female,1953
12714,7/1/2013 8:34,7/1/2013 8:46,381,767,31,Wabash Ave & Roosevelt Rd,20,Dearborn St & Adams St,Subscriber,Female,1972
12727,7/1/2013 8:35,7/1/2013 8:42,375,434,20,Dearborn St & Adams St,1,Michigan Ave & Washington St,Subscriber,Male,1972
12721,7/1/2013 8:36,7/1/2013 8:38,141,150,40,Michigan Ave & Congress Pkwy,8,Millennium Park,Subscriber,Male,1957
12722,7/1/2013 8:38,7/1/2013 9:01,669,1336,290,Noble St & Milwaukee Ave,34,Michigan Ave & Pearson St,Subscriber,Female,1978
12724,7/1/2013 8:39,7/1/2013 8:49,224,646,49,Dearborn St & Monroe St,156,Aberdeen St & Madison St,Subscriber,Male,1983
12723,7/1/2013 8:39,7/1/2013 8:52,380,802,40,Michigan Ave & Congress Pkwy,157,Aberdeen St & Jackson Blvd,Subscriber,Male,1957
12738,7/1/2013 8:44,7/1/2013 8:57,593,792,138,Canal St & Jackson Blvd,2,State St & Randolph St,Subscriber,Male,1954
12729,7/1/2013 8:44,7/1/2013 8:59,323,894,166,Halsted St & James M Rochford St,23,Daley Center Plaza,Subscriber,Male,1964
12739,7/1/2013 8:46,7/1/2013 8:53,759,425,138,Canal St & Jackson Blvd,3,State St & Van Buren St,Subscriber,Male,1962
12743,7/1/2013 8:50,7/1/2013 9:04,208,808,398,Blackstone Ave & Hyde Park Blvd,19,Franklin St & Jackson Blvd,Subscriber,Male,1978
12749,7/1/2013 8:55,7/1/2013 9:00,382,298,156,Aberdeen St & Madison St,301,Clinton St & Madison St,Subscriber,Male,1976
12748,7/1/2013 8:55,7/1/2013 9:13,239,1076,37,Clinton St & Tilden St,247,Ashland Ave & Chicago Ave,Subscriber,Male,1949
12758,7/1/2013 8:59,7/1/2013 9:15,163,928,138,Canal St & Jackson Blvd,64,Wells St & Erie St,Subscriber,Male,1973
12752,7/1/2013 9:00,7/1/2013 9:12,289,740,31,Wabash Ave & Roosevelt Rd,1,Michigan Ave & Washington St,Subscriber,Female,1970
12756,7/1/2013 9:02,7/1/2013 9:12,380,606,157,Aberdeen St & Jackson Blvd,385,Clarendon Ave & Leland Ave,Subscriber,Female,1977
12765,7/1/2013 9:05,7/1/2013 9:09,451,239,43,Michigan Ave & Lake St,23,Daley Center Plaza,Subscriber,Male,1972
12762,7/1/2013 9:06,7/1/2013 9:10,107,226,397,Kimbark Ave & 53rd St,19,Franklin St & Jackson Blvd,Subscriber,Male,1978
12761,7/1/2013 9:07,7/1/2013 9:20,191,784,23,Daley Center Plaza,43,Michigan Ave & Lake St,Subscriber,Female,1980
12768,7/1/2013 9:08,7/1/2013 9:12,102,283,420,Martin Luther King Dr & Oakwood Blvd,21,Clinton St & Lake St,Subscriber,Female,1974
12790,7/1/2013 9:19,7/1/2013 9:27,342,436,9,Clark St & Congress Pkwy,19,Franklin St & Jackson Blvd,Subscriber,Male,1967
12788,7/1/2013 9:20,7/1/2013 9:33,162,774,25,Ashland Ave & Armitage Ave,60,Sheffield Ave & Fullerton Ave,Subscriber,Male,1978
12799,7/1/2013 9:27,7/1/2013 9:32,364,301,19,Franklin St & Jackson Blvd,19,Franklin St & Jackson Blvd,Subscriber,Female,1986
12798,7/1/2013 9:27,7/1/2013 9:45,25,1074,60,Sheffield Ave & Fullerton Ave,265,Kingsbury St & Erie St,Subscriber,Male,1982
12800,7/1/2013 9:28,7/1/2013 9:46,772,1100,189,Racine Ave & Fullerton Ave,42,Michigan Ave & Oak St,Subscriber,Male,1991
12806,7/1/2013 9:30,7/1/2013 9:35,761,262,39,Desplaines St & Kinzie St,10,Clinton St & Washington Blvd,Subscriber,Male,1988
12852,7/1/2013 9:45,7/1/2013 9:57,264,739,106,McCormick Place,209,Clark St & Wrightwood Ave,Subscriber,Female,1970
12845,7/1/2013 9:46,7/1/2013 10:05,526,1148,66,Wilton Ave & Diversey Pkwy,46,Wells St & Walton St,Subscriber,Male,1981
12863,7/1/2013 9:47,7/1/2013 9:56,898,515,5,Clark St & Randolph St,43,Michigan Ave & Lake St,Subscriber,Male,1987
12869,7/1/2013 9:52,7/1/2013 10:01,222,530,19,Franklin St & Jackson Blvd,23,Daley Center Plaza,Subscriber,Female,1969
12873,7/1/2013 9:53,7/1/2013 14:12,230,15500,46,Wells St & Walton St,154,Sheffield Ave & Kingsbury St,Subscriber,Female,1983
12877,7/1/2013 9:55,7/1/2013 10:07,541,709,38,Jefferson St & Monroe St,5,Clark St & Randolph St,Subscriber,Male,1987
